City Name,Airport Name,Country,Length (ft),Elevation (ft),,Geographic Location
KABUL,KABUL,AFGHANISTAN,11483,5871,,3434N 6913E
ANCHORAGE INTL,ANCHORAGE INTL,ALASKA,10897,144,,6110N 15000W
ANCHORAGE ELMENDORF,ELMENDORF,ALASKA,10000,213,,6115N 14948W
COLD BAY,COLD BAY,ALASKA,10415,98,,5512N 16243W
FAIRBANKS,FAIRBANKS INTL,ALASKA,10300,434,,6449N 14751W
SHEYMA,SHEYMA,ALASKA,9992,97,,5243N 17407W
TIRANA,RINAS,ALBANIA,9022,118,,4125N 1943E
ADRAR,TOUAT,ALGERIA,9843,915,,2750N 0011W
ALGIERS,HOUARI BOUMEDIENNE,ALGERIA,11500,82,,3642N 0313E
ANNABA,EL MELLAH,ALGERIA,9843,16,,3649N 0749E
CONSTANTINE,AIN-EL-BEY,ALGERIA,7874,2303,,3617N 0637E
EL GOLEA,EL GOLEA,ALGERIA,9843,1306,,3034N 0252E
GHARDAIA,GHARDAIA,ALGERIA,10171,1512,,3223N 0349E
HASSI MESSAOUD,OUED IRARA,ALGERIA,9842,463,,3140N 0609E
IN SALAH,IN SALAH,ALGERIA,7874,883,,2715N 0231E
ORAN,ES SENIA,ALGERIA,9843,295,,3538N 0037E
TAMANRASSET,TAMANRASSET,ALGERIA,11811,4518,,2249N 0528E
ZARAZAITINE,IN AMENAS,ALGERIA,9843,1847,,2803N 0938E
LUANDA,LUANDA,ANGOLA,12139,243,,0851S 1314E
BUENOS AIRES,EZEIZA,ARGENTINA,10827,66,,3449S 5832W
COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA,9022,190,,4547S 6728W
CORDOBA,CORDOBA,ARGENTINA,10499,1604,,3119S 6413W
MAR DE PLATA,MAR DE PLATA,ARGENTINA,7218,66,,3756S 5735W
ASCENSION,WIDEAWAKE,ASCENSION IS.,10000,273,,0758S 1424W
ADELAIDE,ADELAIDE INTL.,AUSTRALIA,8294,20,,3457S 13832E
ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA,8000,1789,,2349S 13354E
AVALON,AVALON,AUSTRALIA,10000,35,,3802S 14428E
BRISBANE,BRISBANE,AUSTRALIA,11483,13,,2723S 15307E
CAIRNS,CAIRNS,AUSTRALIA,10489,10,,1653S 1454E
CANBERRA,CANBERRA,AUSTRALIA,8800,1888,,3519S 14912E
COOLANGATTA,COOLANGATTA,AUSTRALIA,6700,21,,2810S 15330E
DARWIN,DARWIN INTL.,AUSTRALIA,10906,102,,1225S 13053E
KARRATHA,DAMPIER,AUSTRALIA,6070,29,,2043S 11646E
KATHERINE,TINDAL,AUSTRALIA,8900,431,,1431S 13223E
MEEKATHARRA,MEEKATHARRA,AUSTRALIA,7155,1713,,2637S 11833E
MELBOURNE,MELBOURNE INTL.,AUSTRALIA,12000,434,,3741S 14451E
MOUNT ISA,MOUNT ISA,AUSTRALIA,8400,1121,,2040S 13929E
NORFOLK ISLAND,NORFOLK ISLAND,AUSTRALIA,6400,371,,2903S 16756E
PEARCE,PEARCE,AUSTRALIA,8000,149,,3140S 11601E
PERTH,PERTH INTL.,AUSTRALIA,11300,67,,3156S 11558E
PORT HEDLAND,PORT HEDLAND,AUSTRALIA,8202,33,,2023S 11838E
ROCKHAMPTON,ROCKHAMPTON,AUSTRALIA,6500,34,,2323S 15028E
SYDNEY,KINGFORD SMITH,AUSTRALIA,13000,21,,3357S 15110E
TOWNSVILLE,TOWNSVILLE,AUSTRALIA,7900,18,,1915S 14646E
INNSBRUCK,INNSBRUCK,AUSTRIA,6562,1906,,4716N 1121E
KLAGENFURT,KLAGENFURT,AUSTRIA,8924,1470,,4639N 1420E
LINZ,LINZ,AUSTRIA,9219,978,,4814N 1411E
SALZBURG,SALZBURG,AUSTRIA,8366,1411,,4748N 1300E
VIENNA,SCHWECHAT,AUSTRIA,11811,600,,4807N 1633E
BAKU,BINA,AZERBAIJAN,8858,0,,4029N 5004E
LAJES,LAJES,AZORES,10865,180,,3845N 2706W
PONTA DELGARDO,PONTA DELGARDO,AZORES,7716,259,,3744N 2542W
SANTA MARIA,SANTA MARIA,AZORES,10000,308,,3658N 2510W
FREEPORT,FREEPORT,BAHAMAS,11000,7,,2633N 7842W
NASSAU,NASSAU INTL,BAHAMAS,11000,7,,2502N 7728W
BAHRAIN,BAHRAIN INTL,BAHRAIN,13002,6,,2616N 5038E
CHITTAGONG,CHITTAGONG,BANGLADESH,10000,12,,2215N 9150E
DHAKA TEZGAON,TEZGAON,BANGLADESH,9000,24,,2346N 9023E
DHAKA INTL,ZIA INTL.,BANGLADESH,10499,26,,2351N 9024E
BARBADOS,GRANTLY ADAMS INTL,BARBADOS,11000,169,,1304N 5930W
MINSK,MINSK-2,BELARUS,11942,669,,5353N 2801E
ANTWERP,DEURNE,BELGIUM,4839,39,,5111N 0428E
BRUSSELS,BRUSSELS NATIONAL,BELGIUM,11936,184,,5054N 0429E
CHARLEROI,BRUSSELS SOUTH,BELGIUM,8366,614,,5028N 0427E
LIEGE,BIERSET,BELGIUM,8839,659,,5038N 0527E
OSTEND,OSTEND,BELGIUM,10499,13,,5112N 0252E
BELIZE,PHILLIP S.W. GOLDSON INTL,BELIZE,7100,15,,1732N 8818W
COTONOU,CADJEHOUN,BENIN,7874,16,,0621N 0223E
BERMUDA,BERMUDA,BERMUDA,9660,11,,3222N 6442W
FRANCISTOWN,FRANCISTOWN,BOTSWANA,7218,3283,,2110S 2729E
GABORONE NOTWANE,NOTWANE,BOTSWANA,5000,3218,,2439S 2556E
GABORONE INTL,SERETSE KHAMA INTL.,BOTSWANA,9843,3299,,2433S 2555E
GHANZI,GHANZI,BOTSWANA,4659,3729,,2142S 2140E
SELEBI-PHIKWE,SELEBI-PHIKWE,BOTSWANA,5840,2925,,2203S 2749E
BELO HORIZONTE,TRANCREDO NEVES,BRAZIL,8325,2587,,1951S 4357W
BRASILIA,BRASILIA,BRAZIL,10496,3474,,1551S 4754W
CAMPINAS,VIRACOPOS,BRAZIL,10603,2170,,2300S 4708W
FERNANDO DE NOROHNA,FERNANDO DE NOROHNA,BRAZIL,6052,180,,0351S 3225W
FLORIANPOLIS,HERCILIO LUZ,BRAZIL,7543,17,,2740S 3831W
MACEIO,PALMARES,BRAZIL,7218,387,,0931S 3574W
NATAL,AUGUSTO SEVERO,BRAZIL,7447,167,,0554S 3514W
PORTO ALEGRE,SALGADO FILHO,BRAZIL,7478,10,,2959S 5110W
RECIFE,GUARARAPES,BRAZIL,9846,33,,0807S 3455W
RIO DE JANEIRO,GALEAO INTL,BRAZIL,13123,30,,2249S 4315W
SALVADOR,DOIS DE JULHO,BRAZIL,9859,63,,1254S 3819W
SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,BRAZIL,8780,2120,,2313S 4552W
SAO PAULO,GUARULHAS,BRAZIL,12140,2459,,2326S 4629W
BURGAS,BURGAS,BULGARIA,10499,135,,4234N 2730E
SOFIA,SOFIA,BULGARIA,9186,1742,,4242N 2325E
VARNA,VARNA,BULGARIA,8202,230,,4314N 2749E
BOBO-DIOULASSO,BOBO-DIOULASSO,BURKINA,10827,1509,,1110N 0419W
OUAGADOUGOU,OUAGADOUGOU,BURKINA,9842,1037,,1221N 0131W
BUJUMBURA,BUJUMBURA,BURUNDI,11811,2582,,0319S 2919E
PHNOM-PENH,POCHENTONG,CAMBODIA,9842,39,,1133N 10451E
DOUALA,DOUALA,CAMEROON,9350,33,,0401N 0943E
GAROUA,GAROUA,CAMEROON,11155,794,,0920N 1323E
YAOUNDE,NSIMALEN,CAMEROON,11155,2276,,0343N 1133E
ABBOTSFORD,ABBOTSFORD,CANADA,8000,190,,4901N 12222W
BAGOTVILLE,BAGOTVILLE,CANADA,10000,190,,4802N 7100W
CALGARY,CALGARY INTL,CANADA,12675,3557,,5106N 11401W
CHURCHILL,CHURCHILL,CANADA,9200,94,,5844N 9404W
EDMONTON,EDMONTON INTL,CANADA,11000,2373,,5319N 11335W
FREDERICTON,FREDERICTON,CANADA,6000,67,,4552N 6632W
GANDER,GANDER,CANADA,10500,496,,4857N 5434W
GOOSE,GOOSE,CANADA,11050,160,,5319N 6025W
HALIFAX,HALIFAX INTL,CANADA,8800,476,,4453N 6331S
HALIFAX,SHEARWATER,CANADA,8200,167,,4438N 6330W
HAMILTON,HAMILTON,CANADA,8000,780,,4310N 7956W
IQUALUIT,IQUALUIT,CANADA,9000,110,,6345N 6833W
KUUJJUAG,KUUJJUAG,CANADA,6000,122,,5806N 6826W
MONCTON,MONCTON,CANADA,8000,232,,4607W 6441N
MONT JOLI,MONT JOLI,CANADA,6000,172,,4836N 6812W
MONTREAL DORVAL,DORVAL,CANADA,11000,117,,4528W 7345N
MONTREAL MIRABEL,MIRABEL,CANADA,12000,270,,4541N 7402W
NORTH BAY,NORTH BAY,CANADA,10000,1216,,4622N 7925W
OTTAWA,OTTAWA,CANADA,10000,374,,4519N 7540W
QUEBEC,QUEBEC,CANADA,9000,243,,4648N 7123W
REGINA,REGINA,CANADA,7900,1894,,5026N 10440W
SASSKATOON,SASSKATOON,CANADA,8300,1653,,5210N 10642W
SEPT ILES,SEPT ILES,CANADA,6572,180,,5013N 6616W
ST. JOHNS,ST. JOHNS,CANADA,8500,460,,4737N 5245W
STEPHENVILLE,STEPHENVILLE,CANADA,10000,84,,4832N 5833W
SYDNEY,SYDNEY,CANADA,7070,203,,4610N 6003W
THOMPSON,THOMPSON,CANADA,5800,729,,5548N 9725W
TORONTO,TORONTO,CANADA,11050,569,,4341N 7938W
URANIUM CITY,URANIUM CITY,CANADA,5000,1044,,5934N 10829W
VAL D'OR,VAL D'OR,CANADA,10000,1106,,4803N 7747W
VANCOUVER,VANCOUVER,CANADA,11000,9,,4911N 12310W
WHITEHOUSE,WHITEHOUSE,CANADA,7200,2305,,6043N 13504W
WINDSOR,WINDSOR,CANADA,7900,622,,4216N 8258W
WINNIPEG,WINNIPEG,CANADA,11000,783,,4955N 9714W
YARMOUTH,YARMOUTH,CANADA,6000,141,,4350N 6605W
YELLOWKNIFE,YELLOWKNIFE,CANADA,7500,675,,6228N 11427W
FUERTEVENTURA,FUERTEVENTURA,CANARY IS.,7874,75,,2827N 1352W
GRAN CANARIA,LAS PALMAS,CANARY IS.,10170,75,,2756N 1523W
LA PALMA,LA PALMA,CANARY IS.,7218,95,,2837N 1745W
LANZAROTE,LANZAROTE,CANARY IS.,7874,46,,2856N 1336W
TENERIFE NORTE,NORTE,CANARY IS.,11155,2073,,2829N 1620W
TENERIFE REINA SOFIA,REINA SOFIA,CANARY IS.,10500,210,,2803N 1634W
SAL,AMILCAR CABRAI,CAPE VERDE REPUBLIC,10729,177,,1645N 2257W
GRAND CAYMAN,OWEN ROBERTS,CAYMAN ISLANDS,7000,8,,1918N 8122W
BAMGUI,M'POKO,CENTRAL AFRICAN REPUBLIC,8530,1204,,0424N 1831E
CONCEPCION,CARRIEL SUR,CHILE,7546,5240,,3646S 7304W
PUNTA ARENAS,PRES. IBANEZ,CHILE,9154,142,,5300S 7051W
SANTIAGO,A M BENITEZ,CHILE,10499,1554,,3323S 7047W
BEIJING,CAPITAL,CHINA,12467,115,,4004N 11635E
CHENGDU,SHUANGLIU,CHINA,9186,1624,,3035N 10357E
GUANGZHOU/CANTON,BAIYUN,CHINA,11089,36,,2311N 11316E
KUNMING,WUJIABA,CHINA,11155,6217,,2500N 10245E
LANZHOU,ZHONGCHUAN,CHINA,11155,6391,,3631N 10337E
SHANGHAI,HONGQIAC,CHINA,10499,10,,3112N 12120E
SHENZHEN,HUANGTIAN,CHINA,11155,13,,2238N 11349E
TAIYUAN,WUSU,CHINA,8202,2566,,3745N 11237E
TIANJIN,ZHANGGUIZHUANG,CHINA,10499,10,,3907N 11721E
URUMQI,DIWOPU,CHINA,10499,2129,,4354N 8729E
XI'AN,XIANYANG,CHINA,9843,1572,,3426N 10845E
BARRANQUILLA,CORTISSOZ,COLOMBIA,9843,94,,1054N 7447W
BOGOTA,ELDORADO,COLOMBIA,12467,8355,,0442N 7409W
CALI,ALFONSO BONILLA ARAGON,COLOMBIA,9843,3162,,0333N 7623W
CARTEGENA,R. NUNEZ,COLOMBIA,8530,5,,1027N 7513W
SAN ANDRES,SAN ANDRES,COLOMBIA,7808,20,,1235N 8143W
DZAOUDZI,PAMANZI,COMORES & MAYOTTE ISLANDS,4593,23,,1248S 4517E
MORONI HAHAIA,HAHAIA,COMORES & MAYOTTE ISLANDS,9514,89,,1132S 4316E
MORONI ICONI,ICONI,COMORES & MAYOTTE ISLANDS,4446,30,,1142S 4314E
BRAZZAVILLE,MAYA MAYA,CONGO,10827,1047,,0415S 1515E
POINTE NOIRE,POINTE NOIRE,CONGO,6562,56,,0449S 1153E
DUBROVNIK,DUBROVNIK,CROATIA,10827,528,,4234N 1816E
RIJEKA,KRK,CROATIA,8202,279,,4513N 1435E
SPLIT,SPLIT,CROATIA,8366,79,,4332N 1618E
ZADAR,ZADAR,CROATIA,8202,289,,4406N 1522E
ZAGREB,ZAGREB,CROATIA,10663,351,,4545N 1604E
CAMAGUEY,IGNACIO AGRAMONTE,CUBA,9843,407,,2125N 7752W
CAYO LARGO DEL SUR,CAYO LARGO DEL SUR,CUBA,9843,8,,2137N 8132W
HAVANA,JOSE MARTI INTL,CUBA,13123,210,,2300N 8225W
VARADERO,VARADERO,CUBA,11483,213,,2308N 8118W
LARNACA,LARNACA,CYPRUS,8858,8,,3453N 3338E
PAPHOS,PAPHOS INTL,CYPRUS,8858,41,,3443N 3229E
PRAGUE,RUZYNE,CZECH REPUBLIC,12188,1247,,5006N 1416E
AALBORG,AALBORG,DENMARK,8694,10,,5706N 0951E
BILLUND,BILLUND,DENMARK,10171,247,,5544N 0909E
BORNHOLM,RONNE,DENMARK,6562,52,,5504N 1446E
COPENHAGEN KASTRUP,KASTRUP,DENMARK,11811,17,,5537N 1239E
COPENHAGEN ROSKILDE,ROSKILDE,DENMARK,4921,145,,5535N 1208E
ESBJERG,ESBJERG,DENMARK,8530,97,,5532N 0833E
ODENSE,ODENSE,DENMARK,5397,56,,5529N 1020E
TIRSTRUP,TIRSTRUP,DENMARK,8885,82,,5618N 1037E
DJIBOUTI,AMBOULI,DJIBOUTI,10302,49,,1133N 4310E
PUERTO PLATA,PUERTO PLATA,DOMINICAN REPUBLIC,10102,16,,1946N 7034W
PUNTA CANA,PUNTA CANA,DOMINICAN REPUBLIC,8980,40,,1834N 6822W
SANTO DOMINGO,DE LAS AMERICAS,DOMINICAN REPUBLIC,11000,57,,1826N 6940W
GUAYAQUIL,SIMON BOLIVAR,ECUADOR,8005,17,,0209S 7953W
ALEXANDRIA,ALEXANDRIA,EGYPT,7218,-4,,3111N 2957E
ASWAN,ASWAN,EGYPT,11155,656,,2358N 3247E
CAIRO,CAIRO INTL.,EGYPT,10827,381,,3007N 3124E
HURGHADA,HURGHADA,EGYPT,13123,52,,2711N 3348E
LUXOR,LUXOR,EGYPT,9843,288,,2540N 3242E
PORT SAID,PORT SAID,EGYPT,4921,6,,2117N 3214E
RAS EL NAKAB,RAS EL NAKAB,EGYPT,9843,2470,,2936N 3447E
RAS NASRANI,SHARM EL-SHEIKH,EGYPT,10105,163,,2758N 3423E
SAN SALVADOR,EL SALVADOR INTL,EL SALVADOR,10499,101,,1326N 8903W
ADDIS ABABA,BOLE INTL.,ETHIOPIA,12139,7625,,0859N 3848E
ASMARA,ASMARA,ETHIOPIA,9843,7617,,1518N 3855E
DIRE DAWA,ABA TENNA DEJAZNATCH YILMA,ETHIOPIA,8858,3827,,0938N 4152E
HELSINKI MALMI,MALMI,FINLAND,4590,57,,6051N 2503E
HELSINKI VANTAA,VANTAA,FINLAND,11286,167,,6019N 2458E
IVALO,IVALO,FINLAND,8202,475,,6836N 2725E
MARIEHAMN,MARIEHAMN,FINLAND,6234,17,,6007N 1954E
OULU,OULU,FINLAND,8202,47,,6456N 2521E
PORI,PORI,FINLAND,6562,44,,6128N 2148E
ROVANIEMI,ROVANIEMI,FINLAND,9842,645,,6634N 2550E
TAMPERE,PIRKKALA,FINLAND,8858,390,,6125N 2335E
TURKU,TURKU,FINLAND,8202,161,,6031N 2216E
ABBEVILLE,ABBEVILLE,FRANCE,5249,220,,5009N 0150E
AGLEN,LA GARENNE,FRANCE,7103,203,,4411N 0035E
AJACCIO,DELL'ORO,FRANCE,7933,16,,4155N 0848E
ANGERS,AVRILLE,FRANCE,4052,187,,4730N 0034W
BASLE,MULHOUSE,FRANCE,12795,883,,4735N 0732E
BASTIA,PORETTA,FRANCE,8268,26,,4233N 0929E
BERGERAC,ROUMANIERE,FRANCE,6742,167,,4450N 0031E
BEUVAIS,TILLE,FRANCE,7972,358,,4927N 0207E
BEZIERS,VIAS,FRANCE,5971,56,,4319N 0321E
BIARRITZ/BAYONE,ANGLET,FRANCE,7382,243,,4328N 0132W
BORDEAUX,MERIGNAC,FRANCE,10170,161,,4450N 0043W
BREST,GUIPAVAS,FRANCE,10171,325,,4827N 0425W
BRETIGNY-SUR-ORGE,BRETIGNY-SUR-ORGE,FRANCE,9843,269,,4836N 0221E
CAEN,CARPIQUET,FRANCE,5249,256,,4910N 0027W
CAHORS,LALBENQUE,FRANCE,4921,912,,4421N 0129E
CALAIS-DUNKERQUE,CALAIS-DUNKERQUE,FRANCE,5036,10,,5058N 0157E
CALVI,ST. CATHERINE,FRANCE,7579,210,,4231N 0848E
CAMBRAI,EPINOY,FRANCE,8301,256,,5013N 0309E
CANNES,MANDELIEU,FRANCE,5085,13,,4333N 0657E
CARCASSONNE,SALVAZA,FRANCE,6398,433,,4313N 0219E
CHAMBERY,AIX LES BAINS,FRANCE,6627,788,,4538N 0553E
CHATEAUROUX,DEOLS,FRANCE,8366,528,,4652N 0143E
CHERBOURG,MAUPERTUS,FRANCE,8005,456,,4939N 0128W
CLERMOUNT FERRAND,AULNAT,FRANCE,9892,1089,,4547N 0310E
COLMAR,HOUSSEN,FRANCE,5282,630,,4807N 0722E
DEAUVILLE,ST. GATIEN,FRANCE,8366,479,,4922N 0010E
DIEPPE,ST. AUBIN,FRANCE,2690,344,,4953N 0105E
DIJON,LONGVIC,FRANCE,7874,728,,4716N 0506E
DINARD,PLEURTUIT-ST. MALO,FRANCE,7218,217,,4835N 0205W
GRENOBLE,ST. GEOIRS,FRANCE,10007,1302,,4522N 0520E
HYERES,LE PALYVESTRE,FRANCE,6955,13,,4306N 0609E
LA ROCHELLE,LALEU,FRANCE,7021,72,,4611N 0111W
LANNION,LANNION,FRANCE,5584,292,,4854N 0328W
LE HAVRE,OCTEVILLE,FRANCE,7546,312,,4932N 0005E
LE MANS,ARNAGE,FRANCE,4626,194,,4757N 0012E
LE TOUQUET,PARIS PLAGE,FRANCE,7382,36,,5031N 0138E
LILLE,LESQUIN,FRANCE,9268,157,,5034N 0305E
LIMOGES,BELLEGARDE,FRANCE,8202,1299,,4552N 0111E
LYON,BRON,FRANCE,5971,659,,4544N 0456E
MARSEILLE,PROVENCE,FRANCE,11483,69,,4326N 0513E
METZ,NANCY LORRAINE,FRANCE,8202,869,,4859N 0615E
MONTPELLIER,FREJORGUES,FRANCE,8530,16,,4335N 0358E
MORLAIX,PLOUJEAN,FRANCE,4216,282,,4836N 0349W
NANCY,ESSEY,FRANCE,4593,753,,4842N 0614E
NANTES ATLANTIQUE,NANTES ATLANTIQUE,FRANCE,9514,89,,4709N 0136W
PARIS CHARLES DE GAULLE,CHARLES-DE-GAULLE,FRANCE,11860,387,,4901N 0233E
PARIS LE BOURGET,LE BOURGET,FRANCE,9843,217,,4858N 0227E
PARIS ORLY,ORLY,FRANCE,11975,292,,4843N 0223E
PAU PYRENEES,PAU PYRENEES,FRANCE,8202,617,,4323N 0025W
PERIGUEUX,BASSILLAC,FRANCE,5741,328,,4512N  0049E
PERPIGNAN,RIVESALTES,FRANCE,8202,144,,4244N 0252E
PONTOISE,CORMEILLES EN VEXIN,FRANCE,5545,325,,4906N 0202E
QUIMPER,PLUGUFFAN,FRANCE,7054,302,,4759N 0410W
REIMS,CHAMPAGNE,FRANCE,8143,312,,4919N 0403E
RENNES,ST. JACQUES,FRANCE,6890,121,,4804N 0144W
RODEZ,MARCILLAC,FRANCE,6693,1906,,4425N 0229E
ROUEN,VALLEE DE SEINE,FRANCE,5577,512,,4923N 0111E
ST. BRIEUC,ARMOR,FRANCE,7218,453,,4832N 0251W
ST. ETTIENNE,BOUTHEON,FRANCE,7546,1325,,4532N 0418E
ST. NAZAIRE,MONTOIR,FRANCE,7874,10,,4719N 0209W
ST. YAN,ST. YAN,FRANCE,6660,794,,4624N 0401E
STRASBOURG,ENTZHEIM,FRANCE,7874,502,,4832N 0738E
TARBES,OSSUN-LOURDES,FRANCE,9843,1243,,4311N 0000E
TOULOUSE BLAGNAC,BLAGNAC,FRANCE,11483,499,,4337N 0123E
TOULOUSE FRANCAZAL,FRANCAZAL,FRANCE,5906,535,,4333N 0121N
TOURS,ST. SYMPHORIEN,FRANCE,7874,354,,4726N 0043E
TOUSSUS LE NOBLE,TOUSSUS LE NOBLE,FRANCE,3609,538,,4845N 0207E
TROYES,BARBEREY,FRANCE,5143,394,,4819N 0401E
VALENCE,CHABEUIL,FRANCE,6890,531,,4455N 0458E
FRANCEVILLE,MVENGE,GABON,10105,1447,,0139S 1326E
LIBREVILLE,LIBREVILLE,GABON,9843,39,,0027N 0925E
PORT GENTIL,PORT GENTIL,GABON,6234,13,,0043S 0845E
BANJUL,BANJUL,GAMBIA,11810,95,,1321N 1640W
TBILISI,NOVOALEKSEEVKA,GEORGIA,8202,1572,,4140N 4457E
BERLIN GATOW,GATOW,GERMANY,6014,162,,5229N 1308E
BERLIN SCHOENEFIELD,SCHOENEFIELD,GERMANY,9843,155,,5223N 1331E
BERLIN TEGEL,TEGEL,GERMANY,9918,121,,5234N 1317E
BERLIN TEMPLEHOF,TEMPLEHOF,GERMANY,6942,164,,5228N 1324E
BRAUNSWEIG,BRAUNSWEIG,GERMANY,5315,291,,5219N 1033E
BREMEN,BREMEN,GERMANY,6673,13,,5303N 0847E
COLOGNE-BONN,COLOGNE-BONN,GERMANY,12467,300,,5052N 0709E
DORTMUND,WICKEDE,GERMANY,3445,417,,5131N 0737E
DRESDEN,DRESDEN,GERMANY,8202,755,,5108N 1346E
DUSSELDORF,DUSSELDORF,GERMANY,9843,147,,5117N 0645E
ERFURT,ERFURT,GERMANY,6562,1034,,5059N 1058E
FRANKFURT,MAIN,GERMANY,13123,365,,5002N 0834E
FRIEDRICHSHAFEN,FRIEDRICHSHAFEN,GERMANY,7730,1366,,4740N 0931E
HAMBURG FINKENWERDER,FINKENWERDER,GERMANY,7615,16,,5332N 0950E
HAMBURG,HAMBURG,GERMANY,12028,53,,5338N 0959E
HANNOVER,HANNOVER,GERMANY,12467,183,,5228N 0941E
INGOLSTADT,INGOLSTADT,GERMANY,9646,1202,,4834N 1132E
KASSEL-CALDEN,KASSEL-CALDEN,GERMANY,4921,907,,5124N 0923E
KIEL,HOLTENAU,GERMANY,4593,101,,5423N 1009E
LEIPZIG,HALLE,GERMANY,8202,466,,5125N 1214E
LUBECK,BLANKENSEE,GERMANY,5906,52,,5348N 1043E
MUNICH,MUNICH,GERMANY,13123,1486,,4821N 1147E
MUNSTER,MUNSTER/OSNABRUCK,GERMANY,7119,158,,5208N 0741E
NORDHOLZ,NORDHOLZ,GERMANY,8002,74,,5346N 0840E
NURNBERG,NURNBERG,GERMANY,8858,1045,,4930N 1105E
OBERPFAFFENHOFEN,OBERPFAFFENHOFEN,GERMANY,7500,1947,,4805N 1117E
PADERBORN,PADERBORN,GERMANY,7152,699,,5137N 0837E
SAARBRUCKEN,ENSHEIM,GERMANY,6562,1057,,4913N 0707E
STUTTGART,STUTTGART,GERMANY,8366,1300,,4841N 0913E
SYLT,WESTERLAND,GERMANY,6969,51,,5455N 0821E
ACCRA,KOTOKA INTL.,GHANA,9800,203,,0536N 0010W
KUMSAI,KUMSAI,GHANA,6500,942,,0643N 0135W
SUNYANI,SUNYANI,GHANA,4600,998,,0722N 0220W
TAKORADI,TAKORADI,GHANA,5745,21,,0454N 0146W
TAMALE,TAMALE,GHANA,8000,553,,0934N 0052W
GIBRALTAR,GIBRALTAR,GIBRALTER,6000,15,,3609N 0521W
ALEXANDROUPOLIS,DIMOKRITOS,GREECE,8530,24,,4051N 2557E
ANDRAVIDA,ANDRAVIDA,GREECE,10299,55,,3756N 2117E
ARAXOS,ARAXOS,GREECE,9810,50,,3809N 2125E
ATHENS,CENTRAL,GREECE,11483,68,,3754N 2344E
ELEFSIS,ELEFSIS,GREECE,8985,143,,3804N 2333E
HERAKLION,NIKOS KAZANTZAKIS,GREECE,8973,115,,3520N 2511E
IOANNINA,IOANNINA,GREECE,7874,1563,,3942N 2049E
KARPATHOS,KARPATHOS,GREECE,6890,62,,3525N 2709E
KAVALA,MEGAS ALEXANDROS,GREECE,9843,18,,4055N 2437E
KEFALLINIA,KEFALLINIA,GREECE,7972,60,,3807N 2030E
KERKYRA,IOANNIS KAPODISTRIAS,GREECE,7792,6,,3936N 1955E
KHIOS,KHIOS,GREECE,4921,18,,3821N 2609E
LIMNOS,LIMNOS,GREECE,9843,16,,3955N 2514E
MIKONOS,MIKONOS,GREECE,4626,405,,3726N 2521E
MITILINI,MITILINI,GREECE,7920,57,,3904N 2636E
RHODES DIAGORAS,DIAGORAS,GREECE,10696,14,,3624N 2805E
RHODES MARITSA,MARITSA,GREECE,7874,204,,3623N 2807E
SALONIKA,MAKEDONIA,GREECE,8005,22,,4031N 2258E
SAMOS,SAMOS,GREECE,6890,20,,3742N 2655E
SANTORINI,SANTORINI,GREECE,6955,124,,3642N 2655E
SKIATHOS,SKIATHOS,GREECE,5151,50,,3911N 2330E
ZAKINTHOS,ZAKINTHOS,GREECE,7283,10,,3745N 2053E
NARSARSUAQ,NARSARSUAQ,GREENLAND,6004,112,,6110N 4526W
SONDERSTROM,KANGERLUSSUAQ,GREENLAND,9236,165,,6701N 5042W
GUATEMALA,LA AURORA,GUATEMALA,9800,4952,,1435N 9032W
BISSAU,OSVALDO VIEIRA,GUINE-BISSAU,10499,129,,1153N 1539W
CONAKRY,GBESSIA,GUINEE,10827,72,,0934N 1337W
GEORGETOWN,TIMEHRI INTL,GUYANA,7500,95,,0630N 5815W
HONOLULU,HONOLULU INTL.,HAWAIIAN ISLANDS,12360,13,,2120N 15756W
SAN PEDRO SULA,LA MESA,HONDURAS,9202,90,,1527N 8755W
HONG KONG,KAI TAK,HONG KONG,11130,15,,2219N 11412E
BUDAPEST,FERIHEGY,HUNGARY,12162,495,,4726N 1916E
AKUREYI,AKUREYI,ICELAND,6496,6,,6539N 1805W
KEFLAVIK,KEFLAVIK,ICELAND,10013,171,,6359N 2237W
REYKJAVIK,REYKJAVIK,ICELAND,5987,45,,6408N 2157W
AHMEDABAD,AHMEDABAD,INDIA,8999,180,,2304N 7238E
BANGALORE,BANGALORE,INDIA,10850,3307,,1257N 7740E
BOMBAY,JAWAHARIAL NEHRU INTL,INDIA,11447,26,,1905N 7252E
CALCUTTA,N.S. CHANDRA BOSE INTL.,INDIA,11900,18,,2239N 8827E
DELHI,DELHI INTL.,INDIA,12500,744,,2834N 7707E
GOA,DABOLIM,INDIA,11253,184,,1523N 7350E
HYDERABAD,BEGUMPET,INDIA,9080,1741,,1727N 7828E
LUCKNOW,LUCKNOW,INDIA,7054,400,,2646N 8053E
MADRAS,MADRAS INTL.,INDIA,12001,34,,1300N 8011E
NAGPUR,NAGPUR,INDIA,10500,1012,,2105N 7903E
PORT BLAIR,PORT BLAIR,INDIA,6000,16,,1139N 9244E
TRIVANDRUM,TRIVANDRUM,INDIA,9750,13,,0829N 7655E
AMBON,PATTIMURA,INDONESIA,6070,33,,0342S 12805E
